HD,constellation,Star,ColorIndex,Distance,AbsMag
49434,Monoceros,,0.292,40.0801603206,2.7353527498
49933,Monoceros,,0.396,29.8953662182,3.4019806105
50223,Puppis,,0.46,25.2143217347,3.1317635493
50223,Puppis,,0.46,25.2143217347,3.1317635493
50223,Ophiuchus,,0.46,25.2143217347,3.1317635493
50223,Ophiuchus,,0.46,25.2143217347,3.1317635493
50241,Pictor,,0.225,30.3398058252,0.8299360151
50635,Gemini,,0.321,27.940765577,2.498808492
50692,Gemini,,0.573,17.2741406115,4.5530177478
51199,CanisMajor,,0.374,29.2312189418,2.3307653709
51530,Gemini,,0.52,47.3933649289,2.8214122765
51733,CanisMajor,,0.39,38.5505011565,2.5198498587
52711,Gemini,,0.595,19.0949016613,4.5254128695
53705,Puppis,,0.624,16.2495937602,4.5057874596
55575,Lynx,,0.576,16.8605631428,4.4056396202
55864,Volans,,0.436,45.1263537906,2.4078487803
55865,Volans,,1.006,43.4404865334,0.5905265965
55892,Puppis,QW Pup,0.324,21.1774671749,2.8606299137
56537,Gemini,,0.106,28.9100896213,1.2747528101
56963,Lynx,,0.342,34.4946533287,3.0512410768
56986,Gemini,Wasat,0.374,18.0342651037,2.2195077524
57167,CanisMajor,R CMa,0.346,44.0334654337,2.4810856711
57727,Gemini,,0.902,47.2366556448,1.6686042901
58207,Gemini,,1.024,38.61003861,0.8464988204
58461,CanisMajor,,0.432,34.8189415042,3.0809221779
58728,Gemini,,0.455,34.0367597005,2.5402589573
58855,Lynx,,0.47,19.9004975124,3.8556803305
58946,Gemini,,0.32,18.4979652238,2.8243802068
59037,Gemini,,0.12,50,1.5751499783
59380,Monoceros,,0.487,27.8164116829,3.6384944736
59984,Monoceros,,0.54,29.9401197605,3.5187323341
60111,CanisMinor,,0.321,42.662116041,2.4397880367
60179,Gemini,Castor,0.034,15.8052789632,0.5859891723
60532,Puppis,,0.521,25.7003341043,2.390306154
60584,Puppis,,0.468,29.0613193839,2.7434233631
60803,CanisMinor,,0.602,43.630017452,2.6910730665
61110,Gemini,,0.413,48.4966052376,1.4614433047
61421,CanisMinor,Procyon,0.432,3.4973594936,2.6812986213
61935,Monoceros,,1.022,44.2282176028,0.7115028117
62044,Gemini,,1.118,37.4812593703,1.3609291262
62345,Gemini,,0.932,43.9947206335,0.3529971786
62509,Gemini,Pollux,0.991,10.336985735,1.0880304153
62644,Puppis,,0.765,24.1370987207,3.1265746665
62781,Puppis,,0.32,43.4971726838,2.6076948563
63077,Puppis,,0.589,15.199878401,4.450799432
63295,Volans,,1.033,41.0509031199,0.8633864198
63336,Puppis,,0.478,30.2480338778,3.0765142462
64096,Puppis,,0.6,16.6722240747,4.0500323071
64185,Carina,,0.428,34.9406009783,3.0633481471
64235,Monoceros,,0.412,40.899795501,2.7013943173
64379,Puppis,,0.47,18.0245133381,3.730682262
64685,CanisMinor,,0.369,38.1533765738,2.9523351047
65301,Lynx,,0.421,43.5919790759,2.5829670678
